TC2004_ID,NAME,TotalOfPremise,Comparison_Prop,Convenience_Prop,Leisure_Prop,Services_Prop,Vacant_Prop
RC0586,Tamworth Retail Core,262,0.309160305,0.083969466,0.152671756,0.297709924,0.15648855
TC1220,Taunton,489,0.396728016,0.055214724,0.141104294,0.296523517,0.110429448
RC0587,Taunton Retail Core,343,0.437317784,0.049562682,0.116618076,0.27696793,0.119533528
TC1221,Tavistock,56,0.303571429,0.071428571,0.142857143,0.125,0.357142857
TC1222,Teddington,169,0.349112426,0.082840237,0.224852071,0.289940828,0.053254438
TC1223,"Teesside Park, Middlesbrough",48,0.854166667,0.041666667,0.041666667,0.041666667,0.020833333
RC0589,"Teesside Park, Middlesbrough Retail Core",48,0.854166667,0.041666667,0.041666667,0.041666667,0.020833333
TC1224,Teignmouth,69,0.304347826,0.057971014,0.202898551,0.202898551,0.231884058
RC0590,Teignmouth Retail Core,38,0.210526316,0.052631579,0.236842105,0.289473684,0.210526316
TC1225,Telford,181,0.513812155,0.055248619,0.08839779,0.154696133,0.187845304
RC0591,Telford Retail Core,170,0.511764706,0.058823529,0.076470588,0.164705882,0.188235294
TC1226,Temple Fortune,112,0.357142857,0.125,0.160714286,0.321428571,0.035714286
TC1227,Tenbury Wells,,NA,NA,NA,NA,NA
TC1228,Tenby,29,0.344827586,0.034482759,0.206896552,0.068965517,0.344827586
TC1229,Tenterden,27,0.444444444,0.148148148,0.074074074,0.111111111,0.222222222
TC1230,Tetbury,15,0.666666667,0,0,0.133333333,0.2
TC1231,"Teville Road, Worthing",39,0.282051282,0.102564103,0.230769231,0.230769231,0.153846154
TC1232,Tewkesbury,72,0.208333333,0.111111111,0.055555556,0.194444444,0.430555556
RC0592,Tewkesbury Retail Core,17,0.117647059,0.176470588,0.058823529,0.117647059,0.529411765
TC1233,Thame,146,0.342465753,0.089041096,0.136986301,0.376712329,0.054794521
RC0593,Thame Retail Core,75,0.4,0.093333333,0.133333333,0.32,0.053333333
TC1234,Thatcham,28,0.178571429,0.035714286,0.107142857,0.392857143,0.285714286
