UID,NAME,Comp_08,Conv_08,Lei_08,Serv_08,CompCh_15,ConCh_15,LeiCh_15,SerCh_15,EASTING,NORTHING
TC1303,Walton-on-Thames,186.54,183.19,163.13,193.8,-62.12,-61,-54.32,-64.53,510114.6341,166343.9024
TC0085,Bath,341.93,342.36,280.31,254.66,-76.59,-76.69,-62.79,-57.05,374905.6173,164840.8025
TC0368,Croydon,331.77,203.14,185.79,184.53,-36.83,-22.55,-20.62,-20.49,532521.9937,165631.3291
TC1202,Sutton,281.62,249.94,210.67,205.83,-80.54,-71.48,-60.25,-58.87,525910.7466,164236.3122
TC0447,Epsom,254.46,226.53,187.46,197,-77.35,-68.86,-56.99,-59.89,520902.5148,160801.9231
TC0236,Camberley,222.05,244.71,191.94,230.88,-46.19,-50.9,-39.93,-48.02,487458.0357,160633.4821
TC0243,Canterbury,341.85,342.1,259.7,243.54,-89.22,-89.29,-67.78,-63.56,614960.2273,157751.3636
TC0798,Maidstone,243.94,237.49,183.8,165.9,-73.18,-71.25,-55.14,-49.77,576066.3636,155769.2424
TC0464,Farnborough,206.56,150.47,157.05,199.15,-29.54,-21.52,-22.46,-28.47,486875,155580.0388
TC0480,Fleet,145.94,162.62,141.75,173.27,-62.61,-69.76,-60.81,-74.33,480830.6701,154146.6495
TC0084,Basingstoke,353.58,388.59,256.81,221.88,-93.7,-102.98,-68.05,-58.8,463791.5761,152106.25
TC0017,Aldershot,102.03,106.36,87.34,105.94,-27.85,-29.04,-23.84,-28.92,486386.9266,150675.9174
TC0541,Guildford,452.65,498.44,334.74,388.16,72.43,79.76,53.56,62.1,499655.1786,149579.8214
TC0466,Farnham,260.42,202.8,212.74,254.23,15.36,11.96,12.56,15,483924.2806,146835.4317
TC0030,Andover,185.63,211.61,182.49,170.03,-46.41,-52.9,-45.62,-42.51,436450.9804,145516.6667
TC0041,"Ashford, Kent",197.42,164.14,176.57,162.85,-34.75,-28.89,-31.08,-28.66,601022.7124,142720.7516
TC1271,Tunbridge Wells,215.49,208.19,195.03,212.34,0,0,0,0,558402.4691,139356.1728
TC0417,East Grinstead,157.22,136.79,137.17,165.06,-33.65,-29.27,-29.36,-35.33,539293.8976,138195.8661
TC0178,Bridgwater,130.03,169.05,112.03,112.69,-39.01,-50.71,-33.61,-33.8,329865.7407,137093.0556
TC0353,Crawley,365.55,364.32,234.97,248.26,-54.1,-53.92,-34.77,-36.74,526935.166,136708.8174
