LAD_CODE,LAD_NAME,Av_08,Comp0812,Con0812,Lei0812,Ser0812
E08000005,Rochdale,130.588814770095638,-22.624533771339827,-30.955908894560537,-19.562307860165689,-19.389436785372638
E07000082,Stroud,86.943706176070492,-13.931694708522215,-13.199702704606551,-11.951761937669630,-12.878369826630887
E07000069,Castle Point,147.792786179647663,-17.166638605039765,-20.077622523027856,-20.152039036485704,-28.348532341595899
E07000034,Chesterfield,127.386303014398123,-11.839450759053676,-13.377538077168026,-10.949189482133292,-10.374697460841759
E07000096,Dacorum,187.692077750697763,-28.800310500476542,-24.762496322100048,-29.675563566175413,-26.990944158592328
E07000222,Warwick,158.392918119556498,-23.167946246136836,-15.998154504711309,-18.570444380675696,-19.607030420136766
E07000167,Ryedale,108.267313889537249,-18.160768570401558,-18.310938950087674,-14.763624112096366,-14.538152677075104
E07000192,Cannock Chase,115.076962652941660,-15.202580831971403,-14.773347650348327,-14.193653961894228,-14.900338362128039
E07000041,Exeter,226.130493467561195,-39.115494738912076,-30.401569934423691,-31.077796448057939,-29.290110892050109
E07000091,New Forest,155.838039565593505,-23.094497394096948,-20.088072727962754,-20.240075015455020,-21.496813343386663
E06000036,Bracknell Forest,167.996410815960616,-22.050550877888526,-22.299058925894599,-29.732552619590336,-23.979793531894558
E07000171,Bassetlaw,97.545214825214458,-9.151465657958880,-9.679720060726410,-8.590074906879963,-8.414330193216060
E06000043,Brighton and Hove,212.757468820827171,-34.586634317539534,-27.211939601066490,-32.045894479537850,-23.321227896758273
E07000113,Swale,103.094784987874704,-13.772282276881100,-14.899700520432575,-14.674018585774277,-14.601679768663786
E07000107,Dartford,649.362851564122479,-148.800739568692052,-57.032062484510789,-62.631146891733238,-37.777933300456652
E09000014,Haringey,216.480843209588954,-20.823967964901954,-15.333239109042125,-16.134132114767453,-17.265000140778170
E07000098,Hertsmere,183.385815946690713,-27.083913079486109,-25.371161162172342,-26.712927744466384,-29.125681402251985
E07000040,East Devon,135.124369248704227,-21.376745468986513,-19.993677889580340,-18.989274134613623,-19.369424677080573
E06000005,Darlington,135.047072019644418,-28.851724001777683,-21.416103374852725,-17.560977590482480,-20.215571581814899
E07000201,Forest Heath,143.936509428856255,-20.461123161384080,-22.718021070702235,-23.458087834916427,-21.244483498131260
E07000066,Basildon,204.747245102788241,-31.552640244311590,-27.025968613435111,-28.234418239433836,-31.637303111621691
E07000067,Braintree,134.400238704574122,-20.720469555796640,-20.601384372505777,-21.934925015416368,-17.714862625326134
E07000121,Lancaster,107.282904024381082,-19.539007707570974,-18.942950887338753,-20.131818832468241,-17.418474658607536
E07000036,Erewash,86.487460140234134,-7.997795762172956,-8.212351033686005,-7.300686277400260,-7.635739439059691
E06000001,Hartlepool,87.649756884390342,-14.892483641941070,-14.102723714267682,-12.947455983231428,-14.539690281889293
E08000014,Sefton,134.205739132403352,-24.385917993593139,-19.632056676672718,-24.827194392809346,-19.038031225420184
E07000166,Richmondshire,102.979249661014407,-15.454477582342705,-16.917795139015524,-17.910889494735912,-13.702599374914186
E07000189,South Somerset,124.301962979614501,-19.074813432973869,-18.294538334183898,-18.647893809748325,-17.259372473418978
E09000025,Newham,222.188273396760280,-27.027923053508232,-11.748793330255609,-17.376036689534459,-13.664289738511968
E07000206,Waveney,99.627852337139245,-15.537053949197400,-14.086819709029015,-14.309811455276019,-15.204543100722276
E06000022,Bath and North East Somerset,258.700101796730962,-42.810957926744550,-32.900786159713135,-43.744972775441170,-29.759870833791950
E07000142,West Lindsey,83.429319790186142,-8.098755212731604,-9.041420495961319,-7.349199477836223,-6.991911841161354
E07000100,St Albans,257.524552450955468,-42.677692917910349,-35.523564417573880,-36.402073006512978,-36.948105218053058
E07000145,Great Yarmouth,97.794412593781530,-15.250135546632961,-12.210679784927123,-14.392864175840415,-13.201934559261915
E07000199,Tamworth,152.009529275534874,-23.900825082537949,-19.522910821697621,-17.247712983039776,-16.328188405704410
E07000120,Hyndburn,81.859078985971792,-13.921567046024947,-15.662648769577103,-15.666672108530420,-11.859276455868645
E06000040,Windsor and Maidenhead,282.085350868848764,-46.496665295890978,-34.158205918859608,-38.810022591281410,-33.078990610261826
E09000031,Waltham Forest,153.157969549937974,-13.068743161214996,-12.175685078201838,-11.795813037714453,-12.250091799828596
E07000118,Chorley,119.971702475560065,-22.477653797177254,-16.822769505203766,-20.910932309833839,-19.890748475751039
E09000007,Camden,340.124266872611315,-31.107938726208204,-23.791690448123916,-27.357455615255390,-24.501496824288324
E07000012,South Cambridgeshire,144.126208101172381,-21.691326176646172,-17.148134514630314,-26.112581305945611,-23.052052886937219
E07000049,East Dorset,135.195449655137566,-19.788404681348041,-22.613044999734029,-22.399052225392722,-19.677287283469227
E07000033,Bolsover,133.305920098711027,-19.185362311987262,-7.266780808201503,-8.862297701500822,-5.750410593008453
E06000053,Isles of Scilly,700.000000000000000,,-105.000000000000000,,
E07000133,Melton,106.223842842078355,-8.967999575025303,-11.053914243970340,-9.681997576735142,-10.267406451450512
E06000039,Slough,190.293754634199473,-30.871479354565679,-22.443020369427984,-28.185820387179007,-22.780267727582071
E06000031,Peterborough,217.202229137679922,-41.731482238484091,-26.804816895235348,-29.294670174723080,-27.149736303823630
E07000112,Shepway,101.861989702323172,-14.519484539228671,-14.684147850452575,-14.759725083821351,-14.580262376684445
E07000180,Vale of White Horse,124.137743216098031,-17.962453960049586,-17.045054379435257,-16.065381559774167,-17.588259600416535
E07000137,East Lindsey,105.267030310367403,-9.784215468760820,-10.074079256708970,-9.862784284443123,-8.593299301996041
E07000209,Guildford,382.502980479155497,-59.487924909765582,-42.225891359564287,-43.689182057987693,-45.918184127762288
E07000204,St Edmundsbury,161.939667038585213,-26.899800493592011,-24.520318668501091,-23.503141347449827,-20.767309219604357
E07000048,Christchurch,156.499333326024299,-24.040387106380393,-27.470789142441504,-23.342487657934839,-22.460723054711181
E06000012,North East Lincolnshire,111.465596939078580,-20.945732118083882,-15.492502453794444,-13.164883402610769,-14.676255143822303
E07000156,Wellingborough,113.907978355885021,-10.682640898718503,-10.786359472403291,-9.203780476226413,-9.079420334332298
E09000012,Hackney,180.434513119045505,-14.903101029644944,-13.879304945685760,-14.650649217240215,-14.252761376798276
E07000037,High Peak,99.549693508010705,-9.714608639862291,-9.336208724809609,-7.966316904202813,-8.364011408050487
E07000170,Ashfield,85.020950980914222,-8.435318767385709,-8.458133594711953,-6.453088206780379,-7.582688470405955
E07000106,Canterbury,196.040123477670960,-30.905346445665685,-24.140866580097651,-26.204906498397008,-23.423444279878424
E06000056,Central Bedfordshire,123.612731754598542,-19.546934025104761,-17.071263040547407,-18.777193542005762,-17.687716002939410
E06000015,Derby,135.709095315415340,-14.741471997647835,-9.498055803407993,-13.551679396219498,-9.941527470928875
E07000079,Cotswold,180.699221896948785,-27.855153263581172,-28.972905825846254,-26.092780724917731,-26.974184800095827
E07000076,Tendring,111.643632602050701,-17.177018934944144,-16.352849935376426,-19.559067744598778,-15.487330881122674
E07000196,South Staffordshire,107.411548389319492,-15.717462715578961,-13.115662140446574,-11.314927060653417,-13.692440455105725
E07000045,Teignbridge,134.216063441564216,-20.675150836003255,-21.565264824825860,-20.586070295269280,-18.344673538666456
E07000172,Broxtowe,88.082138953844421,-8.503637655920087,-8.212868225341637,-7.339303302508384,-7.854427089185080
E08000035,Leeds,190.147362495817390,-33.826151325617133,-25.718892400507940,-27.700905922734421,-24.019389161231544
E07000092,Rushmoor,122.229603825370333,-18.867862152058962,-15.685578986375731,-14.604156543996638,-18.295902738770948
E09000026,Redbridge,157.859779511412825,-13.211403167867758,-12.455347046302336,-12.075161732676264,-12.732487872780013
E07000125,Rossendale,69.924015732787325,-11.206991959878231,-12.498891030706837,-11.961741318184913,-12.250543443391599
E09000017,Hillingdon,190.914925133229019,-16.756194031032720,-13.453961093070035,-13.562070406774893,-15.004348793948196
